id,compliance_reasoning
Paper_04,N/A;
Paper_06,Logic & Rule-Based;
Paper_08,Agent-Based Auditing;
Paper_09,Logic & Rule-Based;
Paper_10,Logic & Rule-Based;
Paper_13,Logic & Rule-Based;
Paper_14,Logic & Rule-Based;
Paper_16,Logic & Rule-Based;
Paper_18,Logic & Rule-Based;
Paper_19,Logic & Rule-Based;
Paper_20,Logic & Rule-Based;
Paper_21,Logic & Rule-Based;
Paper_22,Formal Verification;
Paper_23,Logic & Rule-Based;
Paper_24,Logic & Rule-Based;
Paper_25,Logic & Rule-Based;Agent-Based Auditing
Paper_26,Logic & Rule-Based;
Paper_27,Logic & Rule-Based;
Paper_28,Logic & Rule-Based;
Paper_29,Logic & Rule-Based;
Paper_30,Agent-Based Auditing;
Paper_31,Logic & Rule-Based;
Paper_32,Logic & Rule-Based;
Paper_38,Logic & Rule-Based;
Paper_39,Agent-Based Auditing;
Paper_40,Logic & Rule-Based;
Paper_41,Trace & Behavioral Monitoring;
Paper_42,Logic & Rule-Based;Formal Verification
Paper_45,Logic & Rule-Based;
Paper_46,Logic & Rule-Based;
Paper_47,Logic & Rule-Based;
Paper_50,Human-in-the-loop;
Paper_51,Logic & Rule-Based;
Paper_52,Logic & Rule-Based;
Paper_53,Logic & Rule-Based;Agent-Based Auditing
Paper_55,Formal Verification;
Paper_56,Logic & Rule-Based;
Paper_59,Logic & Rule-Based;
Paper_61,Logic & Rule-Based;
Paper_62,Logic & Rule-Based;Trace & Behavioral Monitoring
Paper_64,Logic & Rule-Based;
Paper_65,Logic & Rule-Based;Agent-Based Auditing
Paper_66,Logic & Rule-Based;
Paper_67,Logic & Rule-Based;
Paper_69,Logic & Rule-Based;
Paper_70,Logic & Rule-Based;
Paper_76,N/A;
Paper_77,Formal Verification;
Paper_78,Logic & Rule-Based;
Paper_79,Logic & Rule-Based;
Paper_80,Logic & Rule-Based;
Paper_81,Logic & Rule-Based;
Paper_82,Logic & Rule-Based;
Paper_83,Logic & Rule-Based;Agent-Based Auditing
Paper_85,Logic & Rule-Based;
